timestamp,fitness_hmlcb,fitness_hmlc,precision_hmlcb,precision_hmlc
2025-05-29T16:12:13,0.9,0.93,0.93,0.93
2025-05-29T16:12:17,0.94,0.92,0.88,0.91
2025-05-29T16:12:21,0.9,0.85,0.94,0.89
2025-05-29T16:12:25,0.91,0.93,0.88,0.17
2025-05-29T16:12:29,0.92,0.9,0.93,0.9
2025-05-29T16:12:33,0.95,0.85,0.92,0.93
2025-05-29T16:12:37,0.86,0.94,0.91,0.86
2025-05-29T16:12:41,0.91,0.86,0.93,0.88
2025-05-29T16:12:45,0.95,0.77,0.88,0.95
2025-05-29T16:12:49,0.87,0.86,0.8,0.95
2025-05-29T16:29:45,0.09,0.17,0.02,0.15
2025-05-29T16:29:48,0.03,0.18,0.16,0.1
2025-05-29T16:29:52,0.11,0.13,0.03,0.07
2025-05-29T16:29:57,0.12,0.15,0.15,0.03
2025-05-29T16:30:01,0.13,0.19,0.12,0.07
2025-05-29T16:30:05,0.08,0.01,0.15,0.01
2025-05-29T16:30:09,0.01,0.18,0.04,0.1
2025-05-29T16:30:13,0.03,0.02,0.05,0.13
2025-05-29T16:30:16,0.2,0.18,0.13,0.07
2025-05-29T16:30:20,0.13,0.14,0.16,0.11
